id,title,artist,bpm,key
1,weeeek,GReeeeN,110,Db
2,キセキ,GReeeeN,180,C
3,愛唄,GReeeeN,170,Ab
4,チョコレイト・ディスコ,Perfume,128,Eb
5,ねぇ,Perfume,128,F
6,天体観測,BUMP OF CHICKEN,165,Db
7,小さな恋の歌,Mongol800,116,B
8,残酷な天使のテーゼ,Yoko Takahashi,128,Eb
9,チェリー,スピッツ,194,C
10,サウダージ,ポルノグラフィティ,120,G
11,アゲハ蝶,ポルノグラフィティ,116,C
12,夏祭り,Whiteberry,141,Ab
13,さくらんぼ,大塚 愛,170,G
14,Tomorrow never knows,Mr.Children,109,G
15,ロビンソン,スピッツ,111,A
16,女々しくて,ゴールデンボンバー,143,A
17,夏色,ゆず,120,Eb
18,シーソーゲーム~勇敢な恋の歌~,Mr.Children,135,E
19,前前前世,RADWIMPS,190,B
20,シュガーソングとビターステップ,UNISON SQUARE GARDEN,132,Gb
21,負けないで,ZARD,126,G
22,HANABI,Mr.Children,112,Db
23,Lemon,米津玄師,174,B
24,恋,back number,152,A
25,ヘビーローテーション,AKB48,178,E
26,U.S.A.,DA PUMP,140,D
27,Choo Choo TRAIN,EXILE,115,Db
28,R.Y.U.S.E.I.,J SOUL BROTHERS III from EXILE TRIBE,128,Ab
29,HOT LIMIT,T.M.Revolution,138,B
30,つけまつける,きゃりーぱみゅぱみゅ,145,A
31,ファッションモンスター,きゃりーぱみゅぱみゅ,160,Ab
32,BOY MEETS GIRL,TRF,135,E
33,浪漫飛行,米米CLUB,138,D
34,ガッツだぜ!!,ウルフルズ,124,D
35,虹,Aqua Timez,128,Bb
36,Ez Do Dance,TRF,140,C
37,White Love,SPEED,111,A
38,ロマンスの神様,広瀬香美,126,Db
39,アジアの純真,PUFFY,126,E
